Fecha;PM10;PM2.5;NO;NO2;NOX;CO;SO2;OZONO;Vel Viento 10M;Dir Viento 10M;Temperatura;Presion Baro;Rad Solar;Precipitacion;HR
1/12/2023 1:00;44;24;192,8;13,9;206,7;1,13;0;0,2;0;302;7,1;564;0;0;81,97
1/12/2023 2:00;50;30;264,9;13,2;278;1,13;0;0,2;0;349;5,9;564;0;0;82,48
1/12/2023 3:00;42;23;199,7;13,7;213,4;0,64;0;0,1;0;323;5,7;564;0;0;83,96
1/12/2023 4:00;30;18;144,2;9,6;153,9;0,4;0;0,2;0;311;4,9;564;0;0;83,77
1/12/2023 5:00;45;30;235,4;14,2;249,6;0,62;0;0,2;0,6;314;4,6;564;0;0;84,19
1/12/2023 6:00;54;30;174,1;17,1;191,3;0,68;0;0,3;0,8;31;6,3;564;0;0;86,02
1/12/2023 7:00;47;30;80,4;14,8;95,2;0,58;0;0,6;0,9;355;7,5;565;19;0;86,75
1/12/2023 8:00;68;34;61,9;14,1;76;0,55;0;2,8;1;336;9,9;565;163;0;87,1
1/12/2023 9:00;53;27;27,1;7,6;34,8;0,32;0;9,2;1;311;16,7;565;452;0;68,56
1/12/2023 10:00;20;8;8,3;0,4;8,7;0,09;0;15,3;1,4;155;19,8;565;602;0;43,56
1/12/2023 11:00;22;6;0;0;0;0,04;0;18,6;1,5;315;21,3;565;742;0;37,34
1/12/2023 12:00;17;7;0;0;0;0,04;0;19,6;1,8;181;22,3;564;770;0;32,72
1/12/2023 13:00;23;6;0;0;0;0,08;0;18,4;2;169;23,4;564;818;0;30
1/12/2023 14:00;24;5;0;0;0;0,08;0;18,3;2,2;176;24,1;563;751;0;28,57
1/12/2023 15:00;20;6;0;0;0;0,1;0;16,9;2,4;137;23,6;563;571;0;30,28
1/12/2023 16:00;24;8;9,8;2,6;12,3;0,14;0;14,8;2,1;117;23;563;344;0;32,3
1/12/2023 17:00;21;10;9,4;3,4;12,8;0,16;0;13,5;2,2;95;20,7;563;126;0;36,4
1/12/2023 18:00;23;10;8,5;6,7;15,2;0,2;0;11,2;1,7;115;16,9;563;2;0;49,05
1/12/2023 19:00;20;6;4,1;5;9;0,13;0;12,1;1,3;288;14,8;563;0;0;60,23
1/12/2023 20:00;0;8;6,4;5;11,4;0,15;0;11,7;1,8;204;14,2;564;0;0;64,61
1/12/2023 21:00;0;18;18,3;16,4;34,8;0,27;0;4;1,2;308;12,8;564;0;0;69,4
1/12/2023 22:00;0;17;52,8;17,6;70,3;0,57;0;1,3;0,6;303;10,5;564;0;0;73,6
1/12/2023 23:00;0;17;48,7;16,4;65,1;0,57;0;0,2;0,6;298;9,2;564;0;0;78,01
2/12/2023 0:00;0;26;105,1;14,9;119,9;0,89;0;0,3;0,6;316;8,1;564;0;0;79,28
2/12/2023 1:00;0;23;112,5;14;126,6;0,85;0;0,2;0,5;327;7,1;564;0;0;81,3
2/12/2023 2:00;0;25;159,4;13,4;172,8;1;0;0,2;0,5;341;6,4;563;0;0;82,45
2/12/2023 3:00;0;21;104,7;11,6;116,3;0,63;0;0,1;0,6;280;6,3;563;0;0;83,71
2/12/2023 4:00;0;31;167,7;12,1;179,9;0,78;0;0,3;0,5;301;5,3;563;0;0;83,29
2/12/2023 5:00;0;26;196,5;11,6;208,1;0,85;0;0,3;0,3;317;4,7;564;0;0;83,33
2/12/2023 6:00;0;32;163,3;12,4;175,8;0,71;0;0,2;0,4;319;4,7;564;0;0;83,95
2/12/2023 7:00;0;30;142,2;12,1;154,3;0,88;0;0,6;0,5;316;6,7;564;44;0;85,13
2/12/2023 8:00;0;31;56;11,5;67,4;0,47;0;3,9;1,7;338;12,8;565;255;0;79,72
2/12/2023 9:00;0;14;16,8;4,4;21,3;0,22;0;11,5;1;321;17,8;565;450;0;57,13
2/12/2023 10:00;0;14;7,4;0,8;8,2;0,14;0;16,2;1,2;313;20,3;565;623;0;44,76
2/12/2023 11:00;0;11;0;0;0;0,09;0;17;1,6;165;20,6;565;437;0;41,22
2/12/2023 12:00;0;6;0;0;0;0,12;0;15,8;1,8;114;20,5;564;393;0;42,83
2/12/2023 13:00;0;6;0;0;0;0,11;0;17;2,6;178;21,8;564;609;0;40,01
2/12/2023 14:00;0;9;0;0;0;0,13;0;17,9;3,4;170;21,6;563;526;0;38,38
2/12/2023 15:00;0;13;0;0;0;0,15;0;18,7;3,1;159;22,4;562;535;0;35,85
2/12/2023 16:00;0;10;6,2;1;7,2;0,16;0;18,3;2,1;148;23,5;562;365;0;33,3
2/12/2023 17:00;0;9;6,2;3;9,3;0,18;0;16,3;1,9;115;21;562;119;0;37,58
2/12/2023 18:00;0;11;4,8;5;9,8;0,2;0;14,4;1,6;137;16,5;562;1;0;54,33
