Estacion;Fecha inicial;Fecha final;PM10
ZIPAQUIRÁ - EFZ;2024-02-03 15:00;2024-02-03 15:59;13.68
ZIPAQUIRÁ - EFZ;2024-02-03 14:00;2024-02-03 14:59;12.88
ZIPAQUIRÁ - EFZ;2024-02-03 13:00;2024-02-03 13:59;16.2
ZIPAQUIRÁ - EFZ;2024-02-03 12:00;2024-02-03 12:59;19.13
ZIPAQUIRÁ - EFZ;2024-02-03 11:00;2024-02-03 11:59;24.26
ZIPAQUIRÁ - EFZ;2024-02-03 10:00;2024-02-03 10:59;45.64
ZIPAQUIRÁ - EFZ;2024-02-03 09:00;2024-02-03 09:59;58.19
ZIPAQUIRÁ - EFZ;2024-02-03 08:00;2024-02-03 08:59;48.52
ZIPAQUIRÁ - EFZ;2024-02-03 07:00;2024-02-03 07:59;46.99
ZIPAQUIRÁ - EFZ;2024-02-03 06:00;2024-02-03 06:59;50.71
ZIPAQUIRÁ - EFZ;2024-02-03 05:00;2024-02-03 05:59;35.54
ZIPAQUIRÁ - EFZ;2024-02-03 04:00;2024-02-03 04:59;38.38
ZIPAQUIRÁ - EFZ;2024-02-03 03:00;2024-02-03 03:59;25.71
ZIPAQUIRÁ - EFZ;2024-02-03 02:00;2024-02-03 02:59;23.57
ZIPAQUIRÁ - EFZ;2024-02-03 01:00;2024-02-03 01:59;23.32
ZIPAQUIRÁ - EFZ;2024-02-03 00:00;2024-02-03 00:59;27.76
ZIPAQUIRÁ - EFZ;2024-02-02 23:00;2024-02-02 23:59;29.86
ZIPAQUIRÁ - EFZ;2024-02-02 22:00;2024-02-02 22:59;31.71
ZIPAQUIRÁ - EFZ;2024-02-02 21:00;2024-02-02 21:59;29.34
ZIPAQUIRÁ - EFZ;2024-02-02 20:00;2024-02-02 20:59;38.78
ZIPAQUIRÁ - EFZ;2024-02-02 19:00;2024-02-02 19:59;41.78
ZIPAQUIRÁ - EFZ;2024-02-02 18:00;2024-02-02 18:59;39.38
ZIPAQUIRÁ - EFZ;2024-02-02 17:00;2024-02-02 17:59;27.93
ZIPAQUIRÁ - EFZ;2024-02-02 16:00;2024-02-02 16:59;17.74
ZIPAQUIRÁ - EFZ;2024-02-02 15:00;2024-02-02 15:59;19.74
ZIPAQUIRÁ - EFZ;2024-02-02 14:00;2024-02-02 14:59;24.65
ZIPAQUIRÁ - EFZ;2024-02-02 13:00;2024-02-02 13:59;31.48
ZIPAQUIRÁ - EFZ;2024-02-02 12:00;2024-02-02 12:59;30.65
ZIPAQUIRÁ - EFZ;2024-02-02 11:00;2024-02-02 11:59;39.36
ZIPAQUIRÁ - EFZ;2024-02-02 10:00;2024-02-02 10:59;42.41
ZIPAQUIRÁ - EFZ;2024-02-02 09:00;2024-02-02 09:59;49.24
ZIPAQUIRÁ - EFZ;2024-02-02 08:00;2024-02-02 08:59;79.57
ZIPAQUIRÁ - EFZ;2024-02-02 07:00;2024-02-02 07:59;52.62
ZIPAQUIRÁ - EFZ;2024-02-02 06:00;2024-02-02 06:59;36.14
ZIPAQUIRÁ - EFZ;2024-02-02 05:00;2024-02-02 05:59;36.17
ZIPAQUIRÁ - EFZ;2024-02-02 04:00;2024-02-02 04:59;26.84
ZIPAQUIRÁ - EFZ;2024-02-02 03:00;2024-02-02 03:59;27.79
ZIPAQUIRÁ - EFZ;2024-02-02 02:00;2024-02-02 02:59;24.98
ZIPAQUIRÁ - EFZ;2024-02-02 01:00;2024-02-02 01:59;30.03
ZIPAQUIRÁ - EFZ;2024-02-02 00:00;2024-02-02 00:59;28.29
ZIPAQUIRÁ - EFZ;2024-02-01 23:00;2024-02-01 23:59;35.91
ZIPAQUIRÁ - EFZ;2024-02-01 22:00;2024-02-01 22:59;45.06
ZIPAQUIRÁ - EFZ;2024-02-01 21:00;2024-02-01 21:59;47.16
ZIPAQUIRÁ - EFZ;2024-02-01 20:00;2024-02-01 20:59;41.07
ZIPAQUIRÁ - EFZ;2024-02-01 19:00;2024-02-01 19:59;36.19
ZIPAQUIRÁ - EFZ;2024-02-01 18:00;2024-02-01 18:59;35.84
ZIPAQUIRÁ - EFZ;2024-02-01 17:00;2024-02-01 17:59;55.58
ZIPAQUIRÁ - EFZ;2024-02-01 16:00;2024-02-01 16:59;36.6
ZIPAQUIRÁ - EFZ;2024-02-01 15:00;2024-02-01 15:59;25.85
ZIPAQUIRÁ - EFZ;2024-02-01 14:00;2024-02-01 14:59;26.62
ZIPAQUIRÁ - EFZ;2024-02-01 13:00;2024-02-01 13:59;22.81
ZIPAQUIRÁ - EFZ;2024-02-01 12:00;2024-02-01 12:59;30.54
ZIPAQUIRÁ - EFZ;2024-02-01 11:00;2024-02-01 11:59;39.97
ZIPAQUIRÁ - EFZ;2024-02-01 10:00;2024-02-01 10:59;49.99
ZIPAQUIRÁ - EFZ;2024-02-01 09:00;2024-02-01 09:59;80.13
ZIPAQUIRÁ - EFZ;2024-02-01 08:00;2024-02-01 08:59;108.03
ZIPAQUIRÁ - EFZ;2024-02-01 07:00;2024-02-01 07:59;46.53
ZIPAQUIRÁ - EFZ;2024-02-01 06:00;2024-02-01 06:59;40.57
ZIPAQUIRÁ - EFZ;2024-02-01 05:00;2024-02-01 05:59;36.38
ZIPAQUIRÁ - EFZ;2024-02-01 04:00;2024-02-01 04:59;29.94
ZIPAQUIRÁ - EFZ;2024-02-01 03:00;2024-02-01 03:59;17.23
ZIPAQUIRÁ - EFZ;2024-02-01 02:00;2024-02-01 02:59;20.46
ZIPAQUIRÁ - EFZ;2024-02-01 01:00;2024-02-01 01:59;24.42
ZIPAQUIRÁ - EFZ;2024-02-01 00:00;2024-02-01 00:59;35.31
ZIPAQUIRÁ - EFZ;2024-01-31 23:00;2024-01-31 23:59;27.74
ZIPAQUIRÁ - EFZ;2024-01-31 22:00;2024-01-31 22:59;25.05
ZIPAQUIRÁ - EFZ;2024-01-31 21:00;2024-01-31 21:59;28.37
